PlantID,PlantName,Accession,ClonalGroup,Replicate,AccessionID,ExperimentID,User,GrowthLocation,TrayPosition,PlantingDate,IntoChamberDate,EmergenceDate,EarEmergenceDate,variable,value,measurement_date
28344,BdTR5a_R3F,BdTR5a,Clone3,3,695,BVZ0049,SRE,NCRIS-5,3A4,2015-09-14,2015-09-21,2015-09-27,2016-04-02,Growth Stage,0,2015-09-30
28345,GUL3-8_R1F,GUL3-8,HYB1,1,389,BVZ0049,SRE,NCRIS-5,3A5,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,0,2015-09-30
28346,BdTR10n_R2F,BdTR10n,Clone6,2,740,BVZ0049,SRE,NCRIS-5,3B1,2015-09-14,2015-09-21,2015-09-27,2016-03-08,Growth Stage,0,2015-09-30
28347,BdTR2d_R2F,BdTR2d,Clone1,2,663,BVZ0049,SRE,NCRIS-5,3B2,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,1.1,2015-09-30
28348,BdTR1j_R3F,BdTR1j,Clone1,3,656,BVZ0049,SRE,NCRIS-5,3B3,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,0,2015-09-30
28349,BdTR3f_R3F,BdTR3f,Clone2,3,682,BVZ0049,SRE,NCRIS-5,3B4,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,1.2,2015-09-30
28350,Bd21_R2F,Bd21,Bd21,2,4741,BVZ0049,SRE,NCRIS-5,3B5,2015-09-14,2015-09-21,2015-09-27,2016-03-07,Growth Stage,0,2015-09-30
28351,BdTR5g_R2F,BdTR5g,Clone3,2,701,BVZ0049,SRE,NCRIS-5,3C1,2015-09-14,2015-09-21,2015-09-27,2016-03-30,Growth Stage,0,2015-09-30
28352,BdTR13j_R2F,BdTR13j,Clone7,2,763,BVZ0049,SRE,NCRIS-5,3C2,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,1.1,2015-09-30
28353,BdTR2b_R2F,BdTR2b,Clone1,2,661,BVZ0049,SRE,NCRIS-5,3C3,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,1.2,2015-09-30
28354,BdTR13k_R2F,BdTR13k,Clone7,2,764,BVZ0049,SRE,NCRIS-5,3C4,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,1.2,2015-09-30
28355,BdTR3k_R3F,BdTR3k,Clone2,3,687,BVZ0049,SRE,NCRIS-5,3C5,2015-09-14,2015-09-21,2015-09-27,2016-03-16,Growth Stage,0,2015-09-30
28356,BdTR9b_R1F,BdTR9b,Clone4,1,718,BVZ0049,SRE,NCRIS-5,3D1,2015-09-14,2015-09-21,2015-09-27,2016-03-21,Growth Stage,0,2015-09-30
28357,BdTR5m_R2F,BdTR5m,Clone3,2,706,BVZ0049,SRE,NCRIS-5,3D2,2015-09-14,2015-09-21,2015-09-27,2016-03-31,Growth Stage,0,2015-09-30
28358,BdTR11g_R3F,BdTR11g,Clone6,3,748,BVZ0049,SRE,NCRIS-5,3D3,2015-09-14,2015-09-21,2015-09-27,2016-03-08,Growth Stage,0,2015-09-30
28359,BdTR1n_R3F,BdTR1n,Clone1,3,659,BVZ0049,SRE,NCRIS-5,3D4,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,0,2015-09-30
28360,BdTR9f_R2F,BdTR9f,Clone4,2,721,BVZ0049,SRE,NCRIS-5,4A1,2015-09-14,2015-09-21,2015-09-27,2016-03-18,Growth Stage,0,2015-09-30
28361,BdTR13a_R1F,BdTR13a,Clone7,1,754,BVZ0049,SRE,NCRIS-5,4A2,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,1.4,2015-09-30
28362,BdTR2b_R3F,BdTR2b,Clone1,3,661,BVZ0049,SRE,NCRIS-5,4A3,2015-09-14,2015-09-21,2015-09-27,2016-03-13,Growth Stage,0,2015-09-30
28363,BdTR5n_R1F,BdTR5n,Clone3,1,707,BVZ0049,SRE,NCRIS-5,4A4,2015-09-14,2015-09-21,2015-09-27,2016-04-02,Growth Stage,0,2015-09-30
28364,BdTR11i_R3F,BdTR11i,Clone6,3,750,BVZ0049,SRE,NCRIS-5,4A5,2015-09-14,2015-09-21,2015-09-28,2016-03-11,Growth Stage,0,2015-09-30
28365,BdTR10b_R3F,BdTR10b,Clone5,3,729,BVZ0049,SRE,NCRIS-5,4B1,2015-09-14,2015-09-21,2015-09-27,2016-03-16,Growth Stage,1.3,2015-09-30
28366,BdTR5f_R2F,BdTR5f,Clone3,2,700,BVZ0049,SRE,NCRIS-5,4B2,2015-09-14,2015-09-21,2015-09-27,2016-03-30,Growth Stage,0,2015-09-30
28367,BdTR5c_R3F,BdTR5c,Clone3,3,697,BVZ0049,SRE,NCRIS-5,4B3,2015-09-14,2015-09-21,2015-09-27,2016-04-04,Growth Stage,0,2015-09-30
28368,BdTR3h_R1F,BdTR3h,Clone2,1,684,BVZ0049,SRE,NCRIS-5,4B4,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,1,2015-09-30
28369,BdTR3j_R3F,BdTR3j,Clone2,3,686,BVZ0049,SRE,NCRIS-5,4B5,2015-09-14,2015-09-21,2015-09-27,2016-03-19,Growth Stage,0,2015-09-30
28370,BdTR5e_R3F,BdTR5e,Clone3,3,699,BVZ0049,SRE,NCRIS-5,4C1,2015-09-14,2015-09-21,2015-09-27,2016-04-01,Growth Stage,0,2015-09-30
28371,BdTR10n_R1F,BdTR10n,Clone6,1,740,BVZ0049,SRE,NCRIS-5,4C2,2015-09-14,2015-09-21,2015-09-28,2016-03-09,Growth Stage,0,2015-09-30
28372,BdTR10c_R3F,BdTR10c,Clone5,3,730,BVZ0049,SRE,NCRIS-5,4C3,2015-09-14,2015-09-21,2015-09-27,2016-03-15,Growth Stage,0,2015-09-30
28373,BdTR2h_R3F,BdTR2h,Clone1,3,667,BVZ0049,SRE,NCRIS-5,4C4,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,0,2015-09-30
28374,BdTR2j_R2F,BdTR2j,Clone1,2,669,BVZ0049,SRE,NCRIS-5,4C5,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,0,2015-09-30
28375,BdTR5j_R1F,BdTR5j,Clone3,1,704,BVZ0049,SRE,NCRIS-5,4D1,2015-09-14,2015-09-21,2015-09-27,2016-03-29,Growth Stage,0,2015-09-30
28376,BdTR11g_R2F,BdTR11g,Clone6,2,748,BVZ0049,SRE,NCRIS-5,4D2,2015-09-14,2015-09-21,2015-09-27,2016-03-08,Growth Stage,0,2015-09-30
28377,BdTR3t_R1F,BdTR3t,Clone2,1,694,BVZ0049,SRE,NCRIS-5,4D3,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,1,2015-09-30
28378,BdTR5f_R1F,BdTR5f,Clone3,1,700,BVZ0049,SRE,NCRIS-5,4D4,2015-09-14,2015-09-21,2015-09-27,2016-03-29,Growth Stage,0,2015-09-30
28379,BdTR10e_R2F,BdTR10e,Clone5,2,732,BVZ0049,SRE,NCRIS-5,5A1,2015-09-14,2015-09-21,2015-09-27,2016-03-13,Growth Stage,1,2015-09-30
28380,BdTR10d_R1F,BdTR10d,Clone5,1,731,BVZ0049,SRE,NCRIS-5,5A2,2015-09-14,2015-09-21,2015-09-27,2016-03-15,Growth Stage,0,2015-09-30
28381,BdTR2n_R2F,BdTR2n,Clone1,2,672,BVZ0049,SRE,NCRIS-5,5A3,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,0,2015-09-30
28382,BdTR3g_R2F,BdTR3g,Clone2,2,683,BVZ0049,SRE,NCRIS-5,5A4,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,1.1,2015-09-30
28383,BdTR5d_R2F,BdTR5d,Clone3,2,698,BVZ0049,SRE,NCRIS-5,5A5,2015-09-14,2015-09-21,2015-09-27,2016-03-25,Growth Stage,0,2015-09-30
28384,Bd21_R12F,Bd21,Bd21,12,4741,BVZ0049,SRE,NCRIS-5,5B1,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,0,2015-09-30
28385,BdTR10o_R3F,BdTR10o,Clone5,3,741,BVZ0049,SRE,NCRIS-5,5B2,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,1.2,2015-09-30
28386,BdTR5b_R1F,BdTR5b,Clone3,1,696,BVZ0049,SRE,NCRIS-5,5B3,2015-09-14,2015-09-21,2015-09-27,2016-03-29,Growth Stage,0,2015-09-30
28387,BdTR2m_R2F,BdTR2m,Clone1,2,671,BVZ0049,SRE,NCRIS-5,5B4,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,0,2015-09-30
28388,BdTR11i_R2F,BdTR11i,Clone6,2,750,BVZ0049,SRE,NCRIS-5,5B5,2015-09-14,2015-09-21,2015-09-27,2016-03-07,Growth Stage,0,2015-09-30
28389,BdTR10i_R1F,BdTR10i,Clone5,1,736,BVZ0049,SRE,NCRIS-5,5C1,2015-09-14,2015-09-21,2015-09-27,2016-03-13,Growth Stage,1.3,2015-09-30
28390,SLK7_R2F,SLK7,HYB1,2,548,BVZ0049,SRE,NCRIS-5,5C2,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,0,2015-09-30
28391,BdTR9j_R3F,BdTR9j,Clone4,3,725,BVZ0049,SRE,NCRIS-5,5C3,2015-09-14,2015-09-21,2015-09-27,2016-03-18,Growth Stage,0,2015-09-30
28392,BdTR3t_R2F,BdTR3t,Clone2,2,694,BVZ0049,SRE,NCRIS-5,5C4,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,0,2015-09-30
28393,BdTR5b_R2F,BdTR5b,Clone3,2,696,BVZ0049,SRE,NCRIS-5,5C5,2015-09-14,2015-09-21,2015-09-27,2016-03-30,Growth Stage,0,2015-09-30
28394,GWW10_R3F,GWW10,HYB1,3,397,BVZ0049,SRE,NCRIS-5,5D1,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,0,2015-09-30
28395,BdTR11f_R1F,BdTR11f,Clone6,1,747,BVZ0049,SRE,NCRIS-5,5D2,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,0,2015-09-30
28396,BdTR3s_R3F,BdTR3s,Clone2,3,693,BVZ0049,SRE,NCRIS-5,5D3,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,0,2015-09-30
28397,BdTR10g_R1F,BdTR10g,Clone5,1,734,BVZ0049,SRE,NCRIS-5,5D4,2015-09-14,2015-09-21,2015-09-27,2016-03-13,Growth Stage,0,2015-09-30
28398,BdTR10f_R3F,BdTR10f,Clone4,3,733,BVZ0049,SRE,NCRIS-5,6A1,2015-09-14,2015-09-21,2015-09-27,2016-03-13,Growth Stage,0,2015-09-30
28399,BdTR11c_R2F,BdTR11c,Clone6,2,744,BVZ0049,SRE,NCRIS-5,6A2,2015-09-14,2015-09-21,2015-09-27,2016-03-07,Growth Stage,0,2015-09-30
28400,BdTR5h_R1F,BdTR5h,Clone3,1,702,BVZ0049,SRE,NCRIS-5,6A3,2015-09-14,2015-09-21,2015-09-27,2016-03-31,Growth Stage,0,2015-09-30
28401,BdTR2j_R1F,BdTR2j,Clone1,1,669,BVZ0049,SRE,NCRIS-5,6A4,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,1.2,2015-09-30
28402,BdTR10a_R1F,BdTR10a,Clone5,1,728,BVZ0049,SRE,NCRIS-5,6A5,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,1.4,2015-09-30
28403,BdTR2d_R1F,BdTR2d,Clone1,1,663,BVZ0049,SRE,NCRIS-5,6B1,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,1.1,2015-09-30
28404,BdTR5f_R3F,BdTR5f,Clone3,3,700,BVZ0049,SRE,NCRIS-5,6B2,2015-09-14,2015-09-21,2015-09-27,2016-03-30,Growth Stage,0,2015-09-30
28405,BdTR1a_R3F,BdTR1a,Clone1,3,647,BVZ0049,SRE,NCRIS-5,6B3,2015-09-14,2015-09-21,2015-09-27,2016-03-07,Growth Stage,0,2015-09-30
28406,BdTR13k_R3F,BdTR13k,Clone7,3,764,BVZ0049,SRE,NCRIS-5,6B4,2015-09-14,2015-09-21,2015-09-27,2016-03-01,Growth Stage,1.2,2015-09-30
28407,BdTR5e_R1F,BdTR5e,Clone3,1,699,BVZ0049,SRE,NCRIS-5,6B5,2015-09-14,2015-09-21,2015-09-27,2016-03-29,Growth Stage,0,2015-09-30
28408,BdTR11d_R3F,BdTR11d,Clone6,3,745,BVZ0049,SRE,NCRIS-5,6C1,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,0,2015-09-30
28409,BdTR13m_R3F,BdTR13m,Clone7,3,765,BVZ0049,SRE,NCRIS-5,6C2,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,1.1,2015-09-30
28410,BdTR2r_R1F,BdTR2r,Clone1,1,675,BVZ0049,SRE,NCRIS-5,6C3,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,0,2015-09-30
28411,BdTR3p_R2F,BdTR3p,Clone2,2,691,BVZ0049,SRE,NCRIS-5,6C4,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,1.1,2015-09-30
28412,BdTR3b_R2F,BdTR3b,Clone2,2,678,BVZ0049,SRE,NCRIS-5,6C5,2015-09-14,2015-09-21,2015-09-27,2016-03-08,Growth Stage,1.2,2015-09-30
28413,BdTR13a_R3F,BdTR13a,Clone7,3,754,BVZ0049,SRE,NCRIS-5,6D1,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,1.1,2015-09-30
28414,BdTR3b_R3F,BdTR3b,Clone2,3,678,BVZ0049,SRE,NCRIS-5,6D2,2015-09-14,2015-09-21,2015-09-27,2016-03-08,Growth Stage,1.2,2015-09-30
28415,BdTR10o_R2F,BdTR10o,Clone5,2,741,BVZ0049,SRE,NCRIS-5,6D3,2015-09-14,2015-09-21,2015-09-27,2016-03-15,Growth Stage,1,2015-09-30
28416,BdTR3f_R1F,BdTR3f,Clone2,1,682,BVZ0049,SRE,NCRIS-5,6D4,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,1.3,2015-09-30
28417,BdTR5i_R2F,BdTR5i,Clone3,2,703,BVZ0049,SRE,NCRIS-5,7A2,2015-09-14,2015-09-21,2015-09-27,2016-03-29,Growth Stage,0,2015-09-30
28418,BdTR10b_R2F,BdTR10b,Clone5,2,729,BVZ0049,SRE,NCRIS-5,7A3,2015-09-14,2015-09-21,2015-09-27,2016-03-13,Growth Stage,1.1,2015-09-30
28419,BdTR9g_R1F,BdTR9g,Clone4,1,722,BVZ0049,SRE,NCRIS-5,7A4,2015-09-14,2015-09-21,2015-09-27,2016-03-18,Growth Stage,0,2015-09-30
28420,BdTR13f_R1F,BdTR13f,Clone7,1,759,BVZ0049,SRE,NCRIS-5,7A5,2015-09-14,2015-09-21,2015-09-27,2016-03-01,Growth Stage,1.4,2015-09-30
28421,BdTR3d_R3F,BdTR3d,Clone2,3,680,BVZ0049,SRE,NCRIS-5,7B1,2015-09-14,2015-09-21,2015-09-27,2016-03-13,Growth Stage,1,2015-09-30
28422,BdTR13f_R3F,BdTR13f,Clone7,3,759,BVZ0049,SRE,NCRIS-5,7B2,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,1.3,2015-09-30
28423,BdTR1g_R1F,BdTR1g,Clone1,1,653,BVZ0049,SRE,NCRIS-5,7B3,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,0,2015-09-30
28424,BdTR2p_R1F,BdTR2p,Clone1,1,674,BVZ0049,SRE,NCRIS-5,7B4,2015-09-14,2015-09-21,2015-09-27,2016-03-08,Growth Stage,0,2015-09-30
28425,BdTR2k_R1F,BdTR2k,Clone1,1,670,BVZ0049,SRE,NCRIS-5,7B5,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,1.3,2015-09-30
28426,BdTR13i_R3F,BdTR13i,Clone7,3,762,BVZ0049,SRE,NCRIS-5,7C1,2015-09-14,2015-09-21,2015-09-27,2016-03-02,Growth Stage,1.3,2015-09-30
28427,BdTR3h_R2F,BdTR3h,Clone2,2,684,BVZ0049,SRE,NCRIS-5,7C2,2015-09-14,2015-09-21,2015-09-27,2016-03-08,Growth Stage,1.2,2015-09-30
28428,BdTR13b_R1F,BdTR13b,Clone7,1,755,BVZ0049,SRE,NCRIS-5,7C3,2015-09-14,2015-09-21,2015-09-27,2016-03-02,Growth Stage,1.1,2015-09-30
28429,BdTR5j_R2F,BdTR5j,Clone3,2,704,BVZ0049,SRE,NCRIS-5,7C4,2015-09-14,2015-09-21,2015-09-27,NA,Growth Stage,0,2015-09-30
28430,GUL1-2_R3F,GUL1-2,HYB1,3,367,BVZ0049,SRE,NCRIS-5,7C5,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,0,2015-09-30
28431,BdTR9m_R3F,BdTR9m,Clone4,3,727,BVZ0049,SRE,NCRIS-5,7D1,2015-09-14,2015-09-21,2015-09-27,2016-03-20,Growth Stage,0,2015-09-30
28432,BLA1_R1F,BLA1,HYB1,1,252,BVZ0049,SRE,NCRIS-5,7D2,2015-09-14,2015-09-21,2015-09-27,2016-03-01,Growth Stage,0,2015-09-30
28433,BdTR11g_R1F,BdTR11g,Clone6,1,748,BVZ0049,SRE,NCRIS-5,7D3,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,0,2015-09-30
28434,BdTR11f_R2F,BdTR11f,Clone6,2,747,BVZ0049,SRE,NCRIS-5,7D4,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,0,2015-09-30
28435,BdTR2j_R3F,BdTR2j,Clone1,3,669,BVZ0049,SRE,NCRIS-5,8A1,2015-09-14,2015-09-21,2015-09-27,2016-03-08,Growth Stage,0,2015-09-30
28436,BdTR3n_R2F,BdTR3n,Clone2,2,689,BVZ0049,SRE,NCRIS-5,8A2,2015-09-14,2015-09-21,2015-09-27,2016-03-08,Growth Stage,0,2015-09-30
28437,GUL1-2_R2F,GUL1-2,HYB1,2,367,BVZ0049,SRE,NCRIS-5,8A3,2015-09-14,2015-09-21,2015-09-27,2016-03-02,Growth Stage,0,2015-09-30
28438,ELI10_R1F,ELI10,HYB1,1,349,BVZ0049,SRE,NCRIS-5,8A4,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,0,2015-09-30
28439,GUL3-8_R3F,GUL3-8,HYB1,3,389,BVZ0049,SRE,NCRIS-5,8A5,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,0,2015-09-30
28440,BdTR2g_R3F,BdTR2g,Clone1,3,666,BVZ0049,SRE,NCRIS-5,8B1,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,0,2015-09-30
28441,BdTR9k_R1F,BdTR9k,Clone4,1,726,BVZ0049,SRE,NCRIS-5,8B2,2015-09-14,2015-09-21,2015-09-27,2016-03-09,Growth Stage,1.1,2015-09-30
28442,BdTR2h_R2F,BdTR2h,Clone1,2,667,BVZ0049,SRE,NCRIS-5,8B3,2015-09-14,2015-09-21,2015-09-27,2016-03-11,Growth Stage,0,2015-09-30
28443,BdTR11i_R1F,BdTR11i,Clone6,1,750,BVZ0049,SRE,NCRIS-5,8B4,2015-09-14,2015-09-21,2015-09-27,2016-03-04,Growth Stage,0,2015-09-30
28444,BdTR13m_R1F,BdTR13m,Clone7,1,765,BVZ0049,SRE,NCRIS-5,8B5,2015-09-14,2015-09-21,2015-09-27,2016-03-02,Growth Stage,1.2,2015-09-30
